fdc_id,data_type,description,Protein (g),Total Fat (g),Carbohydrate (g),Energy (kcal),Fiber (g),Calcium (mg),Magnesium (mg),Potassium (mg),Sodium (mg),Sugars (g)
321358,foundation_food,"Hummus, commercial",7.35,17.1,14.9,229.0,5.4,41.0,71.1,289.0,438.0,0.0
321359,foundation_food,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",3.35,1.9,4.91,50.0,0.0,126.0,12.0,159.0,39.0,0.0
321360,foundation_food,"Tomatoes, grape, raw",0.83,0.63,5.51,27.0,2.1,11.0,11.9,260.0,6.0,0.0
321505,foundation_food,"Salt, table, iodized",0.0,0.0,0.0,0.0,0.0,50.0,0.0,2.0,38700.0,0.0
321611,foundation_food,"Beans, snap, green, canned, regular pack, drained solids",1.04,0.39,4.11,21.0,0.0,36.0,12.7,97.0,282.0,0.0
321900,foundation_food,"Broccoli, raw",2.57,0.34,6.29,32.0,2.4,46.0,21.0,303.0,36.0,0.0
322228,foundation_food,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",3.38,0.95,5.19,43.0,0.0,126.0,12.0,159.0,39.0,0.0
322559,foundation_food,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",3.43,0.08,4.89,34.0,0.0,132.0,12.5,167.0,41.0,0.0
322892,foundation_food,"Milk, whole, 3.25% milkfat, with added vitamin D",3.28,3.2,4.67,60.0,0.0,123.0,11.9,150.0,38.0,0.0
323121,foundation_food,"Frankfurter, beef, unheated",11.7,28.0,2.89,314.0,0.0,15.0,11.5,343.0,872.0,0.0
323294,foundation_food,"Nuts, almonds, dry roasted, with salt added",20.4,57.8,16.2,620.0,11.0,273.0,258.0,684.0,256.0,0.0
323444,foundation_food,"Cheese, ricotta, whole milk",7.81,11.0,6.86,157.0,0.0,224.0,19.7,230.0,105.0,0.0
323505,foundation_food,"Kale, raw",2.92,1.49,4.42,35.0,4.1,254.0,32.7,348.0,53.0,0.0
323604,foundation_food,"Egg, whole, raw, frozen, pasteurized",12.3,10.3,0.91,150.0,0.0,55.0,11.2,117.0,121.0,0.0
